match_id,date,season,team,opponent,won_match,matches_before,wins_before,win_pct_before,home_win_pct_before,away_win_pct_before,prev_season_win_pct,prev_home_win_pct,prev_away_win_pct,prev_bat_first_win_pct,last_3_wins,won_toss,toss_winner_at_home,batting_first,is_home
419116,2010-03-19,2010,Delhi Daredevils,Chennai Super Kings,0,3,2,0.6666666666666666,0,1,0.5,0.6666666666666666,0.375,0.3333333333333333,2,1,1,1,1
419118,2010-03-20,2010,Kolkata Knight Riders,Rajasthan Royals,0,3,2,0.6666666666666666,0.5,1,0.4615384615384616,0.5714285714285714,0.3333333333333333,0.4444444444444444,2,0,1,0,0
419118,2010-03-20,2010,Rajasthan Royals,Kolkata Knight Riders,1,3,0,0,0,0,0.8125,1,0.6666666666666666,0.6666666666666666,0,1,1,1,1
419119,2010-03-20,2010,Royal Challengers Bangalore,Mumbai Indians,1,3,2,0.6666666666666666,1,0,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.2857142857142857,2,0,1,0,0
419120,2010-03-21,2010,Deccan Chargers,Delhi Daredevils,1,3,2,0.6666666666666666,1,0.5,0.14285714285714285,0,0.2857142857142857,0,2,1,1,1,1
419120,2010-03-21,2010,Delhi Daredevils,Deccan Chargers,0,4,2,0.5,0,1,0.5,0.6666666666666666,0.375,0.3333333333333333,1,0,1,0,0
419122,2010-03-22,2010,Kolkata Knight Riders,Mumbai Indians,0,4,2,0.5,0.5,0.5,0.4615384615384616,0.5714285714285714,0.3333333333333333,0.4444444444444444,1,1,0,1,0
419122,2010-03-22,2010,Mumbai Indians,Kolkata Knight Riders,1,3,2,0.6666666666666666,0.5,1,0.5,0.5,0.5,0.3333333333333333,2,0,0,0,1
419123,2010-03-23,2010,Chennai Super Kings,Royal Challengers Bangalore,0,3,2,0.6666666666666666,0,1,0.5625,0.42857142857142855,0.6666666666666666,0.4444444444444444,2,1,0,0,0
419123,2010-03-23,2010,Royal Challengers Bangalore,Chennai Super Kings,1,4,3,0.75,1,0.5,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.2857142857142857,3,0,0,1,1
419124,2010-03-24,2010,Kings XI Punjab,Rajasthan Royals,0,3,0,0,0,0,0.6666666666666666,0.8571428571428571,0.5,0.5714285714285714,0,1,1,0,1
419124,2010-03-24,2010,Rajasthan Royals,Kings XI Punjab,1,4,1,0.25,0.5,0,0.8125,1,0.6666666666666666,0.6666666666666666,1,0,1,1,0
419125,2010-03-25,2010,Chennai Super Kings,Mumbai Indians,0,4,2,0.5,0,0.6666666666666666,0.5625,0.42857142857142855,0.6666666666666666,0.4444444444444444,2,0,1,1,0
419125,2010-03-25,2010,Mumbai Indians,Chennai Super Kings,1,4,3,0.75,0.6666666666666666,1,0.5,0.5,0.5,0.3333333333333333,2,1,1,0,1
419128,2010-03-25,2010,Delhi Daredevils,Royal Challengers Bangalore,1,5,2,0.4,0,0.6666666666666666,0.5,0.6666666666666666,0.375,0.3333333333333333,0,0,1,1,0
419128,2010-03-25,2010,Royal Challengers Bangalore,Delhi Daredevils,0,5,4,0.8,1,0.5,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.2857142857142857,3,1,1,0,1
419126,2010-03-26,2010,Deccan Chargers,Rajasthan Royals,0,4,3,0.75,1,0.5,0.14285714285714285,0,0.2857142857142857,0,3,1,0,1,0
419126,2010-03-26,2010,Rajasthan Royals,Deccan Chargers,1,5,2,0.4,0.5,0.3333333333333333,0.8125,1,0.6666666666666666,0.6666666666666666,2,0,0,0,1
419127,2010-03-27,2010,Kings XI Punjab,Kolkata Knight Riders,0,4,0,0,0,0,0.6666666666666666,0.8571428571428571,0.5,0.5714285714285714,0,0,0,0,1
419127,2010-03-27,2010,Kolkata Knight Riders,Kings XI Punjab,1,5,2,0.4,0.5,0.3333333333333333,0.4615384615384616,0.5714285714285714,0.3333333333333333,0.4444444444444444,0,1,0,1,0
419129,2010-03-28,2010,Chennai Super Kings,Rajasthan Royals,0,5,2,0.4,0,0.5,0.5625,0.42857142857142855,0.6666666666666666,0.4444444444444444,1,0,1,0,0
419129,2010-03-28,2010,Rajasthan Royals,Chennai Super Kings,1,6,3,0.5,0.6666666666666666,0.3333333333333333,0.8125,1,0.6666666666666666,0.6666666666666666,3,1,1,1,1
419130,2010-03-28,2010,Deccan Chargers,Mumbai Indians,0,5,3,0.6,1,0.3333333333333333,0.14285714285714285,0,0.2857142857142857,0,2,1,0,0,0
419130,2010-03-28,2010,Mumbai Indians,Deccan Chargers,1,5,4,0.8,0.75,1,0.5,0.5,0.5,0.3333333333333333,2,0,0,1,0
419131,2010-03-29,2010,Delhi Daredevils,Kolkata Knight Riders,1,6,3,0.5,0,0.75,0.5,0.6666666666666666,0.375,0.3333333333333333,1,1,1,1,1
419131,2010-03-29,2010,Kolkata Knight Riders,Delhi Daredevils,0,6,3,0.5,0.5,0.5,0.4615384615384616,0.5714285714285714,0.3333333333333333,0.4444444444444444,1,0,1,0,0
419132,2010-03-30,2010,Kings XI Punjab,Mumbai Indians,0,5,0,0,0,0,0.6666666666666666,0.8571428571428571,0.5,0.5714285714285714,0,0,1,1,0
419132,2010-03-30,2010,Mumbai Indians,Kings XI Punjab,1,6,5,0.8333333333333334,0.75,1,0.5,0.5,0.5,0.3333333333333333,3,1,1,0,1
419133,2010-03-31,2010,Chennai Super Kings,Royal Challengers Bangalore,1,6,2,0.3333333333333333,0,0.4,0.5625,0.42857142857142855,0.6666666666666666,0.4444444444444444,0,0,0,0,1
419133,2010-03-31,2010,Royal Challengers Bangalore,Chennai Super Kings,0,6,4,0.6666666666666666,0.75,0.5,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.2857142857142857,2,1,0,1,0
419134,2010-03-31,2010,Delhi Daredevils,Rajasthan Royals,1,7,4,0.5714285714285714,0.3333333333333333,0.75,0.5,0.6666666666666666,0.375,0.3333333333333333,2,1,1,1,1
419134,2010-03-31,2010,Rajasthan Royals,Delhi Daredevils,0,7,4,0.5714285714285714,0.75,0.3333333333333333,0.8125,1,0.6666666666666666,0.6666666666666666,3,0,1,0,0
419135,2010-04-01,2010,Deccan Chargers,Kolkata Knight Riders,0,6,3,0.5,1,0.25,0.14285714285714285,0,0.2857142857142857,0,1,0,1,0,0
419135,2010-04-01,2010,Kolkata Knight Riders,Deccan Chargers,1,7,3,0.42857142857142855,0.5,0.4,0.4615384615384616,0.5714285714285714,0.3333333333333333,0.4444444444444444,1,1,1,1,1
419136,2010-04-02,2010,Kings XI Punjab,Royal Challengers Bangalore,0,6,0,0,0,0,0.6666666666666666,0.8571428571428571,0.5,0.5714285714285714,0,1,1,1,1
419136,2010-04-02,2010,Royal Challengers Bangalore,Kings XI Punjab,1,7,4,0.5714285714285714,0.75,0.3333333333333333,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.2857142857142857,1,0,1,0,0
419137,2010-04-03,2010,Chennai Super Kings,Rajasthan Royals,1,7,3,0.42857142857142855,0.5,0.4,0.5625,0.42857142857142855,0.6666666666666666,0.4444444444444444,1,1,1,1,1
419137,2010-04-03,2010,Rajasthan Royals,Chennai Super Kings,0,8,4,0.5,0.75,0.25,0.8125,1,0.6666666666666666,0.6666666666666666,2,0,1,0,0
419138,2010-04-03,2010,Deccan Chargers,Mumbai Indians,0,7,3,0.42857142857142855,1,0.2,0.14285714285714285,0,0.2857142857142857,0,0,0,1,0,0
419138,2010-04-03,2010,Mumbai Indians,Deccan Chargers,1,7,6,0.8571428571428571,0.8,1,0.5,0.5,0.5,0.3333333333333333,3,1,1,1,1
419139,2010-04-04,2010,Kings XI Punjab,Kolkata Knight Riders,1,7,0,0,0,0,0.6666666666666666,0.8571428571428571,0.5,0.5714285714285714,0,0,1,0,0
419139,2010-04-04,2010,Kolkata Knight Riders,Kings XI Punjab,0,8,4,0.5,0.6666666666666666,0.4,0.4615384615384616,0.5714285714285714,0.3333333333333333,0.4444444444444444,2,1,1,1,1
419140,2010-04-04,2010,Delhi Daredevils,Royal Challengers Bangalore,1,8,5,0.625,0.5,0.75,0.5,0.6666666666666666,0.375,0.3333333333333333,3,1,1,1,1
419140,2010-04-04,2010,Royal Challengers Bangalore,Delhi Daredevils,0,8,5,0.625,0.75,0.5,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.2857142857142857,1,0,1,0,0
419141,2010-04-05,2010,Deccan Chargers,Rajasthan Royals,0,8,3,0.375,1,0.16666666666666666,0.14285714285714285,0,0.2857142857142857,0,0,0,0,0,0
419141,2010-04-05,2010,Rajasthan Royals,Deccan Chargers,1,9,4,0.4444444444444444,0.75,0.2,0.8125,1,0.6666666666666666,0.6666666666666666,1,1,0,1,0
419142,2010-04-06,2010,Chennai Super Kings,Mumbai Indians,1,8,4,0.5,0.6666666666666666,0.4,0.5625,0.42857142857142855,0.6666666666666666,0.4444444444444444,2,1,1,1,1
419142,2010-04-06,2010,Mumbai Indians,Chennai Super Kings,0,8,7,0.875,0.8333333333333334,1,0.5,0.5,0.5,0.3333333333333333,3,0,1,0,0
419143,2010-04-07,2010,Kings XI Punjab,Rajasthan Royals,0,8,1,0.125,0,0.25,0.6666666666666666,0.8571428571428571,0.5,0.5714285714285714,1,1,0,1,0
419143,2010-04-07,2010,Rajasthan Royals,Kings XI Punjab,1,10,5,0.5,0.75,0.3333333333333333,0.8125,1,0.6666666666666666,0.6666666666666666,1,0,0,0,1
419144,2010-04-07,2010,Delhi Daredevils,Kolkata Knight Riders,0,9,6,0.6666666666666666,0.6,0.75,0.5,0.6666666666666666,0.375,0.3333333333333333,3,0,1,0,0
419144,2010-04-07,2010,Kolkata Knight Riders,Delhi Daredevils,1,9,4,0.4444444444444444,0.5,0.4,0.4615384615384616,0.5714285714285714,0.3333333333333333,0.4444444444444444,1,1,1,1,1
419145,2010-04-08,2010,Deccan Chargers,Royal Challengers Bangalore,1,9,3,0.3333333333333333,1,0.14285714285714285,0.14285714285714285,0,0.2857142857142857,0,0,1,0,0,0
419145,2010-04-08,2010,Royal Challengers Bangalore,Deccan Chargers,0,9,5,0.5555555555555556,0.75,0.4,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.2857142857142857,1,0,0,1,1
419146,2010-04-09,2010,Kings XI Punjab,Mumbai Indians,1,9,1,0.1111111111111111,0,0.2,0.6666666666666666,0.8571428571428571,0.5,0.5714285714285714,1,0,0,0,1
419146,2010-04-09,2010,Mumbai Indians,Kings XI Punjab,0,9,7,0.7777777777777778,0.8333333333333334,0.6666666666666666,0.5,0.5,0.5,0.3333333333333333,2,1,0,1,0
419147,2010-04-10,2010,Chennai Super Kings,Deccan Chargers,0,9,5,0.5555555555555556,0.75,0.4,0.5625,0.42857142857142855,0.6666666666666666,0.4444444444444444,3,1,0,1,0
419147,2010-04-10,2010,Deccan Chargers,Chennai Super Kings,1,10,4,0.4,1,0.25,0.14285714285714285,0,0.2857142857142857,0,1,0,0,0,0
419148,2010-04-10,2010,Kolkata Knight Riders,Royal Challengers Bangalore,0,10,5,0.5,0.6,0.4,0.4615384615384616,0.5714285714285714,0.3333333333333333,0.4444444444444444,2,0,1,1,0
419148,2010-04-10,2010,Royal Challengers Bangalore,Kolkata Knight Riders,1,10,5,0.5,0.6,0.4,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.2857142857142857,1,1,1,0,1
419149,2010-04-11,2010,Delhi Daredevils,Kings XI Punjab,0,10,6,0.6,0.6,0.6,0.5,0.6666666666666666,0.375,0.3333333333333333,2,1,1,1,1
419149,2010-04-11,2010,Kings XI Punjab,Delhi Daredevils,1,10,2,0.2,0.2,0.2,0.6666666666666666,0.8571428571428571,0.5,0.5714285714285714,2,0,1,0,0
419150,2010-04-11,2010,Mumbai Indians,Rajasthan Royals,1,10,7,0.7,0.8333333333333334,0.5,0.5,0.5,0.5,0.3333333333333333,1,0,1,1,0
419150,2010-04-11,2010,Rajasthan Royals,Mumbai Indians,0,11,6,0.5454545454545454,0.8,0.3333333333333333,0.8125,1,0.6666666666666666,0.6666666666666666,2,1,1,0,1
419151,2010-04-12,2010,Deccan Chargers,Royal Challengers Bangalore,1,11,5,0.4545454545454546,1,0.3333333333333333,0.14285714285714285,0,0.2857142857142857,0,2,0,0,1,0
419151,2010-04-12,2010,Royal Challengers Bangalore,Deccan Chargers,0,11,6,0.5454545454545454,0.6666666666666666,0.4,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.2857142857142857,1,1,0,0,0
419152,2010-04-13,2010,Delhi Daredevils,Mumbai Indians,0,11,6,0.5454545454545454,0.5,0.6,0.5,0.6666666666666666,0.375,0.3333333333333333,1,0,1,0,0
419152,2010-04-13,2010,Mumbai Indians,Delhi Daredevils,1,11,8,0.7272727272727273,0.8333333333333334,0.6,0.5,0.5,0.5,0.3333333333333333,1,1,1,1,1
419153,2010-04-13,2010,Chennai Super Kings,Kolkata Knight Riders,1,10,5,0.5,0.75,0.3333333333333333,0.5625,0.42857142857142855,0.6666666666666666,0.4444444444444444,2,0,0,0,1
419153,2010-04-13,2010,Kolkata Knight Riders,Chennai Super Kings,0,11,5,0.4545454545454546,0.6,0.3333333333333333,0.4615384615384616,0.5714285714285714,0.3333333333333333,0.4444444444444444,1,1,0,1,0
419154,2010-04-14,2010,Rajasthan Royals,Royal Challengers Bangalore,0,12,6,0.5,0.6666666666666666,0.3333333333333333,0.8125,1,0.6666666666666666,0.6666666666666666,2,1,1,1,1
419154,2010-04-14,2010,Royal Challengers Bangalore,Rajasthan Royals,1,12,6,0.5,0.6666666666666666,0.3333333333333333,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.2857142857142857,1,0,1,0,0
419155,2010-04-15,2010,Chennai Super Kings,Delhi Daredevils,0,11,6,0.5454545454545454,0.8,0.3333333333333333,0.5625,0.42857142857142855,0.6666666666666666,0.4444444444444444,2,1,1,1,1
419155,2010-04-15,2010,Delhi Daredevils,Chennai Super Kings,1,12,6,0.5,0.5,0.5,0.5,0.6666666666666666,0.375,0.3333333333333333,0,0,1,0,0
419156,2010-04-16,2010,Deccan Chargers,Kings XI Punjab,1,12,6,0.5,1,0.4,0.14285714285714285,0,0.2857142857142857,0,3,1,0,0,0
419156,2010-04-16,2010,Kings XI Punjab,Deccan Chargers,0,11,3,0.2727272727272727,0.2,0.3333333333333333,0.6666666666666666,0.8571428571428571,0.5,0.5714285714285714,2,0,0,1,1
419157,2010-04-17,2010,Mumbai Indians,Royal Challengers Bangalore,1,12,9,0.75,0.8571428571428571,0.6,0.5,0.5,0.5,0.3333333333333333,2,0,1,1,0
419157,2010-04-17,2010,Royal Challengers Bangalore,Mumbai Indians,0,13,7,0.5384615384615384,0.6666666666666666,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.2857142857142857,2,1,1,0,1
419158,2010-04-17,2010,Kolkata Knight Riders,Rajasthan Royals,1,12,5,0.4166666666666667,0.6,0.2857142857142857,0.4615384615384616,0.5714285714285714,0.3333333333333333,0.4444444444444444,1,0,0,0,1
419158,2010-04-17,2010,Rajasthan Royals,Kolkata Knight Riders,0,13,6,0.4615384615384616,0.5714285714285714,0.3333333333333333,0.8125,1,0.6666666666666666,0.6666666666666666,1,1,0,1,0
419159,2010-04-18,2010,Chennai Super Kings,Kings XI Punjab,1,12,6,0.5,0.6666666666666666,0.3333333333333333,0.5625,0.42857142857142855,0.6666666666666666,0.4444444444444444,1,1,0,0,0
419159,2010-04-18,2010,Kings XI Punjab,Chennai Super Kings,0,12,3,0.25,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.8571428571428571,0.5,0.5714285714285714,2,0,0,1,1
419160,2010-04-18,2010,Deccan Chargers,Delhi Daredevils,1,13,7,0.5384615384615384,1,0.4545454545454546,0.14285714285714285,0,0.2857142857142857,0,3,1,0,1,0
419160,2010-04-18,2010,Delhi Daredevils,Deccan Chargers,0,13,7,0.5384615384615384,0.5,0.5714285714285714,0.5,0.6666666666666666,0.375,0.3333333333333333,1,0,0,0,1
419161,2010-04-19,2010,Kolkata Knight Riders,Mumbai Indians,1,13,6,0.4615384615384616,0.6666666666666666,0.2857142857142857,0.4615384615384616,0.5714285714285714,0.3333333333333333,0.4444444444444444,1,0,0,0,1
419161,2010-04-19,2010,Mumbai Indians,Kolkata Knight Riders,0,13,10,0.7692307692307693,0.8571428571428571,0.6666666666666666,0.5,0.5,0.5,0.3333333333333333,3,1,0,1,0
419162,2010-04-21,2010,Mumbai Indians,Royal Challengers Bangalore,1,14,10,0.7142857142857143,0.8571428571428571,0.5714285714285714,0.5,0.5,0.5,0.3333333333333333,2,1,0,1,0
419162,2010-04-21,2010,Royal Challengers Bangalore,Mumbai Indians,0,14,7,0.5,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.2857142857142857,1,0,0,0,0
419163,2010-04-22,2010,Chennai Super Kings,Deccan Chargers,1,13,7,0.5384615384615384,0.6666666666666666,0.42857142857142855,0.5625,0.42857142857142855,0.6666666666666666,0.4444444444444444,2,1,0,1,0
419163,2010-04-22,2010,Deccan Chargers,Chennai Super Kings,0,14,8,0.5714285714285714,1,0.5,0.14285714285714285,0,0.2857142857142857,0,3,0,0,0,0
419164,2010-04-24,2010,Deccan Chargers,Royal Challengers Bangalore,0,15,8,0.5333333333333333,1,0.4615384615384616,0.14285714285714285,0,0.2857142857142857,0,2,1,0,1,0
419164,2010-04-24,2010,Royal Challengers Bangalore,Deccan Chargers,1,15,7,0.4666666666666667,0.5714285714285714,0.375,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.2857142857142857,1,0,0,0,0
419165,2010-04-25,2010,Chennai Super Kings,Mumbai Indians,1,14,8,0.5714285714285714,0.6666666666666666,0.5,0.5625,0.42857142857142855,0.6666666666666666,0.4444444444444444,2,1,0,1,0
419165,2010-04-25,2010,Mumbai Indians,Chennai Super Kings,0,15,11,0.7333333333333333,0.8571428571428571,0.625,0.5,0.5,0.5,0.3333333333333333,2,0,0,0,0
